City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,yung shue wan,22.2333,114.1167,29.86,81,100,0.45,HK,Sat Jun 10 11:23:15 2023
202,happy valley-goose bay,53.3168,-60.3315,15.17,67,40,2.57,CA,Sat Jun 10 11:23:15 2023
203,port alfred,-33.5906,26.891,16.77,70,0,2.89,ZA,Sat Jun 10 11:23:15 2023
204,port elizabeth,-33.918,25.5701,17.28,77,1,0.89,ZA,Sat Jun 10 11:18:37 2023
205,nandgaon,20.3167,74.65,27.89,59,90,12.66,IN,Sat Jun 10 11:23:16 2023
206,constantia,44.1833,28.65,21.5,80,100,3.39,RO,Sat Jun 10 11:22:56 2023
207,puerto ayora,-0.7393,-90.3518,29.98,91,100,4.47,EC,Sat Jun 10 11:23:16 2023
208,sena madureira,-9.0656,-68.6569,30.78,59,34,1.22,BR,Sat Jun 10 11:23:16 2023
209,la passe,45.5549,-0.8967,28.13,67,9,5.66,FR,Sat Jun 10 11:23:16 2023
210,birobidzhan,48.8,132.95,13.85,93,72,1.48,RU,Sat Jun 10 11:23:16 2023
211,dubbo,-32.25,148.6167,4.07,93,0,4.63,AU,Sat Jun 10 11:23:16 2023
212,country club,25.9482,-80.317,32.23,62,0,2.57,US,Sat Jun 10 11:23:16 2023
213,pangoa,-12.1167,-73.0,24.82,84,28,0.73,PE,Sat Jun 10 11:23:17 2023
214,floro,61.5996,5.0328,24.04,45,7,7.2,NO,Sat Jun 10 11:23:17 2023
215,darnah,32.767,22.6367,22.8,68,4,8.71,LY,Sat Jun 10 11:23:17 2023
216,san angelo,31.4638,-100.437,30.02,64,0,4.47,US,Sat Jun 10 11:19:15 2023
217,kannus,63.9,23.9,16.81,34,25,3.73,FI,Sat Jun 10 11:23:17 2023
218,mount pearl,47.5166,-52.7813,8.8,98,100,4.63,CA,Sat Jun 10 11:23:17 2023
219,matoury,4.8483,-52.3317,28.98,65,75,3.6,GF,Sat Jun 10 11:23:17 2023
220,ak-suu,42.4995,78.527,16.5,62,100,2.43,KG,Sat Jun 10 11:23:17 2023
221,carutapera,-1.195,-46.02,30.27,63,57,4.57,BR,Sat Jun 10 11:23:17 2023
222,kuching,1.55,110.3333,26.12,94,20,1.54,MY,Sat Jun 10 11:23:17 2023
223,umm kaddadah,13.6017,26.6876,28.38,51,100,3.54,SD,Sat Jun 10 11:23:18 2023
224,kolonia town,6.964,158.206,25.0,94,100,0.0,FM,Sat Jun 10 11:23:18 2023
225,ingeniero jacobacci,-41.3427,-69.5448,1.67,59,86,7.23,AR,Sat Jun 10 11:23:18 2023
226,ormara,25.2088,64.6357,29.09,84,0,5.2,PK,Sat Jun 10 11:23:18 2023
227,gaspra,44.4333,34.1,19.58,84,99,1.82,UA,Sat Jun 10 11:23:18 2023
228,santa cruz,-17.8,-63.1667,27.03,74,75,7.72,BO,Sat Jun 10 11:22:41 2023
229,sirjan,29.452,55.6814,31.16,13,9,2.65,IR,Sat Jun 10 11:23:18 2023
230,moranbah,-22.0016,148.0466,15.26,90,1,3.61,AU,Sat Jun 10 11:23:18 2023
231,gasa,31.5,34.4667,27.71,66,0,4.99,PS,Sat Jun 10 11:23:18 2023
232,peace river,56.2501,-117.286,20.92,61,100,3.09,CA,Sat Jun 10 11:23:19 2023
233,calabozo,8.9242,-67.4293,29.64,66,64,3.8,VE,Sat Jun 10 11:23:19 2023
234,ust-tsilma,65.441,52.1498,6.44,75,100,5.57,RU,Sat Jun 10 11:23:19 2023
235,fabens,31.5023,-106.1586,26.62,15,10,3.43,US,Sat Jun 10 11:23:19 2023
236,deqen,29.9618,90.7188,13.47,63,64,2.65,CN,Sat Jun 10 11:23:19 2023
237,mwene-ditu,-7.0,23.45,30.01,35,62,1.34,CD,Sat Jun 10 11:23:19 2023
238,fredericton,45.9454,-66.6656,15.24,77,100,1.03,CA,Sat Jun 10 11:23:19 2023
239,alofi,-19.0595,-169.9187,23.94,94,26,3.09,NU,Sat Jun 10 11:23:19 2023
240,afaahiti,-17.75,-149.2833,20.93,69,99,6.57,PF,Sat Jun 10 11:23:14 2023
241,selfoss,63.9331,-20.9971,10.02,53,56,6.96,IS,Sat Jun 10 11:23:20 2023
242,plainview,40.7765,-73.4673,23.04,54,0,2.06,US,Sat Jun 10 11:23:20 2023
243,port saint john's,-31.6229,29.5448,17.38,64,0,2.99,ZA,Sat Jun 10 11:23:20 2023
244,buala,-8.145,159.5921,26.68,82,91,2.78,SB,Sat Jun 10 11:23:20 2023
245,twon-brass,4.3151,6.2418,27.9,74,29,6.41,NG,Sat Jun 10 11:23:20 2023
246,kudat,6.8837,116.8477,25.96,100,20,1.03,MY,Sat Jun 10 11:23:20 2023
247,ain oussera,35.4514,2.9058,29.32,21,1,5.24,DZ,Sat Jun 10 11:23:21 2023
248,roxborough park,39.4739,-105.0853,21.42,49,2,1.79,US,Sat Jun 10 11:23:21 2023
249,naze,28.3667,129.4833,24.51,88,100,2.62,JP,Sat Jun 10 11:23:21 2023
250,tsiombe,-25.3,45.4833,20.9,77,0,2.15,MG,Sat Jun 10 11:23:21 2023
251,banda aceh,5.5577,95.3222,28.29,74,98,5.08,ID,Sat Jun 10 11:23:21 2023
252,maceio,-9.6658,-35.7353,28.69,61,40,4.63,BR,Sat Jun 10 11:23:21 2023
253,colonia,50.9333,6.95,31.09,26,0,4.12,DE,Sat Jun 10 11:19:59 2023
254,dzhalagash,45.0833,64.6667,28.43,18,2,5.83,KZ,Sat Jun 10 11:23:21 2023
255,morondava,-20.2833,44.2833,24.37,65,2,5.18,MG,Sat Jun 10 11:23:21 2023
256,alo,7.4178,6.7371,31.75,58,95,2.89,NG,Sat Jun 10 11:23:22 2023
257,codrington,-38.2667,141.9667,11.15,91,53,4.23,AU,Sat Jun 10 11:23:22 2023
258,korsakov,46.6328,142.7813,10.91,98,100,2.17,RU,Sat Jun 10 11:23:22 2023
259,abepura,-2.6333,140.5833,25.45,89,20,0.0,ID,Sat Jun 10 11:23:22 2023
260,preobrazheniye,42.9019,133.9064,11.83,93,17,1.94,RU,Sat Jun 10 11:23:22 2023
261,iacu,-12.7672,-40.2117,31.88,29,4,3.64,BR,Sat Jun 10 11:23:22 2023
262,badger,64.8,-147.5333,13.14,75,0,1.54,US,Sat Jun 10 11:23:22 2023
263,betio village,1.358,172.9211,29.02,77,38,4.3,KI,Sat Jun 10 11:20:19 2023
264,chuguyevka,44.1653,133.8633,12.06,96,8,1.51,RU,Sat Jun 10 11:23:22 2023
265,howard springs,-12.497,131.047,23.95,78,62,2.06,AU,Sat Jun 10 11:23:23 2023
266,manismata,-2.4667,111.0333,24.15,92,68,1.31,ID,Sat Jun 10 11:23:23 2023
267,yangliuqing,39.1375,116.9997,19.97,46,28,3.5,CN,Sat Jun 10 11:23:23 2023
268,egilsstadir,65.2653,-14.3948,10.95,66,75,2.06,IS,Sat Jun 10 11:23:23 2023
269,polyarnyy,69.1989,33.4478,6.98,61,100,3.11,RU,Sat Jun 10 11:23:23 2023
